,Credit Suisse Hedge Fund Index ,,,Credit Suisse Convertible Arbitrage Hedge Fund Index,,,Credit Suisse Dedicated Short Bias Hedge Fund Index,,,Credit Suisse Emerging Markets Hedge Fund Index,,,Credit Suisse Equity Market Neutral Hedge Fund Index,,,Credit Suisse Event Driven Hedge Fund Index,,,Credit Suisse Event Driven Distressed Hedge Fund Index,,,Credit Suisse Event Driven Multi-Strategy Hedge Fund Index,,,Credit Suisse Event Driven Risk Arbitrage Hedge Fund Index,,,Credit Suisse Fixed Income Arbitrage Hedge Fund Index,,,Credit Suisse Global Macro Hedge Fund Index,,,Credit Suisse Long/Short Equity Hedge Fund Index,,,Credit Suisse Managed Futures Hedge Fund Index,,,Credit Suisse Multi-Strategy Hedge Fund Index,,,
10/31/2003,USD,278.39,1.38%,USD,266.00,1.67%,USD,76.87,-7.56%,USD,189.58,2.25%,USD,271.78,0.67%,USD,286.51,1.53%,USD,341.36,1.98%,USD,259.63,1.10%,USD,221.31,1.21%,USD,190.60,0.46%,USD,377.70,0.09%,USD,302.43,2.46%,USD,186.90,0.78%,USD,239.87,1.21%,
9/30/2003,USD,274.61,1.52%,USD,261.62,1.97%,USD,83.16,-0.42%,USD,185.40,2.65%,USD,269.97,1.06%,USD,282.18,1.80%,USD,334.74,2.21%,USD,256.81,1.47%,USD,218.67,0.95%,USD,189.73,1.16%,USD,377.36,3.04%,USD,295.18,1.21%,USD,185.46,-1.60%,USD,237.01,1.68%,
8/31/2003,USD,270.51,0.76%,USD,256.56,-0.91%,USD,83.51,-1.44%,USD,180.61,2.98%,USD,267.15,0.06%,USD,277.19,0.86%,USD,327.49,1.02%,USD,253.08,0.64%,USD,216.61,1.16%,USD,187.56,0.21%,USD,366.22,1.30%,USD,291.64,1.04%,USD,188.48,1.06%,USD,233.09,0.73%,
7/31/2003,USD,268.47,0.08%,USD,258.92,-0.35%,USD,84.73,-2.06%,USD,175.38,0.56%,USD,266.99,0.68%,USD,274.83,0.95%,USD,324.18,1.14%,USD,251.48,0.81%,USD,214.13,0.48%,USD,187.17,-0.98%,USD,361.51,-0.11%,USD,288.65,0.27%,USD,186.51,-2.75%,USD,231.39,0.34%,
6/30/2003,USD,268.25,0.83%,USD,259.82,-0.62%,USD,86.51,-6.01%,USD,174.41,2.02%,USD,265.19,0.46%,USD,272.25,1.80%,USD,320.53,2.63%,USD,249.47,1.28%,USD,213.10,0.75%,USD,189.02,0.34%,USD,361.89,1.63%,USD,287.87,0.79%,USD,191.78,-2.21%,USD,230.60,1.10%,
5/31/2003,USD,266.04,2.71%,USD,261.45,1.76%,USD,92.04,-5.45%,USD,170.95,5.01%,USD,263.97,1.22%,USD,267.43,2.35%,USD,312.33,2.27%,USD,246.32,2.37%,USD,211.51,2.56%,USD,188.38,1.28%,USD,356.07,2.96%,USD,285.62,3.68%,USD,196.11,5.14%,USD,228.08,1.96%,
4/30/2003,USD,259.01,1.96%,USD,256.92,1.42%,USD,97.35,-6.36%,USD,162.79,3.89%,USD,260.78,0.40%,USD,261.29,2.51%,USD,305.39,3.27%,USD,240.61,2.03%,USD,206.24,1.52%,USD,186.00,1.25%,USD,345.82,2.16%,USD,275.48,2.44%,USD,186.52,1.39%,USD,223.69,1.55%,
3/31/2003,USD,254.04,0.26%,USD,253.32,0.95%,USD,103.96,1.23%,USD,156.70,1.00%,USD,259.73,0.79%,USD,254.88,1.01%,USD,295.73,1.19%,USD,235.82,1.05%,USD,203.16,-0.27%,USD,183.70,0.42%,USD,338.52,-0.66%,USD,268.93,0.43%,USD,183.97,-6.10%,USD,220.28,0.76%,
2/28/2003,USD,253.38,0.68%,USD,250.94,1.39%,USD,102.70,-1.73%,USD,155.15,1.02%,USD,257.69,-0.06%,USD,252.34,0.63%,USD,292.24,0.89%,USD,233.37,0.63%,USD,203.71,-0.71%,USD,182.94,0.99%,USD,340.76,1.87%,USD,267.79,-0.21%,USD,195.92,6.43%,USD,218.62,0.11%,
1/31/2003,USD,251.68,1.28%,USD,247.49,3.02%,USD,104.51,-2.73%,USD,153.58,-0.45%,USD,257.84,0.31%,USD,250.76,2.27%,USD,289.66,3.12%,USD,231.92,1.98%,USD,205.17,-0.39%,USD,181.14,1.26%,USD,334.49,2.03%,USD,268.36,-0.07%,USD,184.08,6.07%,USD,218.39,1.47%,
12/31/2002,USD,248.51,1.07%,USD,240.24,1.66%,USD,107.44,4.13%,USD,154.27,-0.53%,USD,257.05,0.82%,USD,245.20,0.99%,USD,280.90,1.17%,USD,227.42,0.93%,USD,205.98,0.53%,USD,178.88,1.32%,USD,327.84,0.85%,USD,268.55,0.76%,USD,173.55,5.50%,USD,215.23,0.54%,
11/30/2002,USD,245.89,1.09%,USD,236.31,1.92%,USD,103.18,-5.89%,USD,155.09,2.24%,USD,254.95,0.31%,USD,242.80,2.57%,USD,277.65,3.91%,USD,225.32,2.05%,USD,204.90,0.21%,USD,176.55,-0.53%,USD,325.07,1.23%,USD,266.53,0.57%,USD,164.51,-2.09%,USD,214.07,1.76%,
10/31/2002,USD,243.23,-0.04%,USD,231.85,1.03%,USD,109.64,-0.66%,USD,151.69,2.38%,USD,254.17,0.41%,USD,236.72,-0.18%,USD,267.21,-0.72%,USD,220.80,0.10%,USD,204.47,0.52%,USD,177.49,-2.27%,USD,321.13,0.72%,USD,265.01,0.08%,USD,168.02,-5.03%,USD,210.36,1.00%,
9/30/2002,USD,243.33,0.08%,USD,229.48,1.37%,USD,110.37,8.10%,USD,148.16,-1.98%,USD,253.14,-0.03%,USD,237.14,-0.20%,USD,269.15,-0.25%,USD,220.59,-0.12%,USD,203.41,-0.56%,USD,181.61,-1.14%,USD,318.85,0.76%,USD,264.79,-0.47%,USD,176.92,4.11%,USD,208.27,0.84%,
8/31/2002,USD,243.14,0.85%,USD,226.38,0.60%,USD,102.10,-1.58%,USD,151.15,1.26%,USD,253.22,0.57%,USD,237.61,0.27%,USD,269.82,0.28%,USD,220.86,0.44%,USD,204.55,-1.23%,USD,183.70,1.23%,USD,316.46,1.22%,USD,266.04,1.01%,USD,169.94,3.36%,USD,206.53,0.83%,
7/31/2002,USD,241.10,-1.35%,USD,225.04,-1.55%,USD,103.74,4.41%,USD,149.27,-1.19%,USD,251.79,1.84%,USD,236.97,-3.10%,USD,269.06,-4.27%,USD,219.89,-2.39%,USD,207.09,-2.73%,USD,181.46,1.08%,USD,312.64,2.15%,USD,263.39,-2.95%,USD,164.42,6.12%,USD,204.82,-0.95%,
6/30/2002,USD,244.39,-0.84%,USD,228.59,-0.33%,USD,99.36,7.63%,USD,151.07,-3.75%,USD,247.25,0.52%,USD,244.56,-2.93%,USD,281.06,-3.79%,USD,225.27,-2.62%,USD,212.91,-1.17%,USD,179.52,0.65%,USD,306.06,1.42%,USD,271.41,-1.26%,USD,154.94,8.63%,USD,206.79,0.09%,
5/31/2002,USD,246.47,0.67%,USD,229.35,0.23%,USD,92.32,1.19%,USD,156.96,-0.73%,USD,245.97,1.29%,USD,251.93,0.12%,USD,292.12,0.19%,USD,231.34,0.09%,USD,215.42,0.03%,USD,178.36,1.44%,USD,301.77,0.78%,USD,274.87,0.80%,USD,142.63,3.51%,USD,206.61,0.85%,
4/30/2002,USD,244.82,0.79%,USD,228.82,1.21%,USD,91.23,2.05%,USD,158.12,0.12%,USD,242.84,0.53%,USD,251.64,0.74%,USD,291.58,0.89%,USD,231.14,0.63%,USD,215.35,0.88%,USD,175.82,1.35%,USD,299.43,1.70%,USD,272.69,0.61%,USD,137.79,-1.61%,USD,204.87,0.80%,
3/31/2002,USD,242.89,0.74%,USD,226.08,-0.02%,USD,89.40,-5.46%,USD,157.93,3.95%,USD,241.57,0.80%,USD,249.80,1.19%,USD,289.02,1.23%,USD,229.70,1.18%,USD,213.47,1.00%,USD,173.48,0.63%,USD,294.43,-0.19%,USD,271.04,0.91%,USD,140.05,-0.91%,USD,203.25,0.70%,
2/28/2002,USD,241.11,-0.56%,USD,226.13,-3.15%,USD,94.56,2.93%,USD,151.93,2.89%,USD,239.65,0.03%,USD,246.87,-0.34%,USD,285.52,-0.63%,USD,227.01,-0.04%,USD,211.35,-1.22%,USD,172.39,0.87%,USD,295.00,0.52%,USD,268.59,-0.99%,USD,141.33,-2.40%,USD,201.84,-0.27%,
1/31/2002,USD,242.47,0.54%,USD,233.48,1.12%,USD,91.87,1.02%,USD,147.66,2.76%,USD,239.58,0.12%,USD,247.71,1.18%,USD,287.32,1.58%,USD,227.10,1.08%,USD,213.97,0.29%,USD,170.90,1.03%,USD,293.46,2.64%,USD,271.27,-0.60%,USD,144.80,-1.27%,USD,202.39,-0.03%,
12/31/2001,USD,241.17,1.19%,USD,230.90,0.32%,USD,90.94,-3.03%,USD,143.70,4.82%,USD,239.30,-0.08%,USD,244.81,1.07%,USD,282.86,1.62%,USD,224.67,0.78%,USD,213.36,0.67%,USD,169.15,0.23%,USD,285.92,2.47%,USD,272.91,1.24%,USD,146.66,2.15%,USD,202.45,-0.24%,
11/30/2001,USD,238.33,0.54%,USD,230.17,0.71%,USD,93.78,-5.44%,USD,137.09,3.96%,USD,239.49,0.82%,USD,242.22,0.85%,USD,278.35,0.76%,USD,222.94,0.91%,USD,211.93,0.81%,USD,168.76,-0.27%,USD,279.02,-0.37%,USD,269.56,1.10%,USD,143.58,-8.62%,USD,202.93,0.38%,
10/31/2001,USD,237.05,0.44%,USD,228.55,1.11%,USD,99.18,-4.97%,USD,131.87,2.19%,USD,237.54,0.72%,USD,240.19,1.35%,USD,276.26,2.35%,USD,220.94,0.90%,USD,210.22,-0.01%,USD,169.22,1.55%,USD,280.05,1.18%,USD,266.62,-0.80%,USD,157.13,3.40%,USD,202.17,0.65%,
9/30/2001,USD,236.01,-0.83%,USD,226.04,0.74%,USD,104.37,2.91%,USD,129.05,-4.38%,USD,235.84,-0.05%,USD,236.98,-1.54%,USD,269.91,-0.79%,USD,218.97,-1.88%,USD,210.24,-2.65%,USD,166.64,0.18%,USD,276.79,1.17%,USD,268.76,-1.57%,USD,151.97,3.65%,USD,200.87,-0.49%,
8/31/2001,USD,237.99,0.92%,USD,224.38,1.50%,USD,101.42,3.67%,USD,134.96,-1.08%,USD,235.95,1.01%,USD,240.69,1.55%,USD,272.05,1.25%,USD,223.17,1.81%,USD,215.97,1.01%,USD,166.34,0.64%,USD,273.59,1.00%,USD,273.04,0.45%,USD,146.62,2.52%,USD,201.86,0.93%,
7/31/2001,USD,235.83,-0.02%,USD,221.07,1.08%,USD,97.83,4.14%,USD,136.44,-2.95%,USD,233.60,0.22%,USD,237.01,0.47%,USD,268.70,1.00%,USD,219.21,0.14%,USD,213.81,0.68%,USD,165.28,0.91%,USD,270.89,0.69%,USD,271.82,-0.72%,USD,143.02,0.15%,USD,200.00,0.58%,
6/30/2001,USD,235.88,0.58%,USD,218.70,0.13%,USD,93.94,-0.22%,USD,140.59,1.63%,USD,233.09,0.29%,USD,235.89,1.03%,USD,266.05,2.65%,USD,218.91,0.11%,USD,212.37,-0.43%,USD,163.79,0.50%,USD,269.03,1.03%,USD,273.78,0.42%,USD,142.80,-0.84%,USD,198.85,-0.28%,
5/31/2001,USD,234.51,0.83%,USD,218.41,0.69%,USD,94.15,-2.73%,USD,138.33,2.39%,USD,232.41,0.64%,USD,233.49,1.10%,USD,259.17,2.42%,USD,218.68,0.28%,USD,213.28,1.31%,USD,162.97,0.52%,USD,266.28,2.14%,USD,272.63,0.40%,USD,144.01,0.83%,USD,199.41,0.61%,
4/30/2001,USD,232.59,0.69%,USD,216.92,1.22%,USD,96.79,-7.52%,USD,135.10,-0.52%,USD,230.93,1.44%,USD,230.94,0.93%,USD,253.05,0.99%,USD,218.06,0.93%,USD,210.53,0.50%,USD,162.13,1.32%,USD,260.69,0.69%,USD,271.55,0.77%,USD,142.82,-5.49%,USD,198.21,1.29%,
3/31/2001,USD,231.00,-0.34%,USD,214.31,1.42%,USD,104.66,3.97%,USD,135.80,-1.29%,USD,227.66,0.92%,USD,228.82,0.12%,USD,250.56,1.38%,USD,216.06,-0.85%,USD,209.49,0.33%,USD,160.02,0.24%,USD,258.90,2.74%,USD,269.47,-1.94%,USD,151.12,4.88%,USD,195.69,0.09%,
2/28/2001,USD,231.78,-0.59%,USD,211.31,2.12%,USD,100.66,8.27%,USD,137.57,-2.89%,USD,225.58,0.89%,USD,228.55,1.59%,USD,247.16,1.92%,USD,217.91,1.34%,USD,208.80,1.49%,USD,159.63,0.53%,USD,252.00,0.99%,USD,274.79,-2.42%,USD,144.09,0.15%,USD,195.51,0.24%,
1/31/2001,USD,233.15,0.94%,USD,206.93,2.68%,USD,92.97,-1.43%,USD,141.67,4.35%,USD,223.58,2.13%,USD,224.98,2.46%,USD,242.51,2.89%,USD,215.02,2.20%,USD,205.74,1.91%,USD,158.79,1.42%,USD,249.53,3.32%,USD,281.60,-0.58%,USD,143.88,-0.03%,USD,195.04,1.64%,
12/31/2000,USD,230.97,2.66%,USD,201.52,0.44%,USD,94.32,0.86%,USD,135.77,2.32%,USD,218.92,1.28%,USD,219.57,0.42%,USD,235.70,0.14%,USD,210.39,0.50%,USD,201.89,1.39%,USD,156.56,0.32%,USD,241.52,5.05%,USD,283.25,3.42%,USD,143.93,7.76%,USD,191.90,1.38%,
11/30/2000,USD,224.99,-1.55%,USD,200.64,-0.47%,USD,93.52,13.76%,USD,132.69,-3.64%,USD,216.16,0.28%,USD,218.65,-0.77%,USD,235.36,-1.06%,USD,209.34,-0.68%,USD,199.12,0.28%,USD,156.06,0.70%,USD,229.92,3.63%,USD,273.88,-3.80%,USD,133.57,6.68%,USD,189.28,0.25%,
10/31/2000,USD,228.53,-1.09%,USD,201.59,1.09%,USD,82.21,6.15%,USD,137.70,-2.47%,USD,215.55,0.81%,USD,220.34,-0.05%,USD,237.88,-0.09%,USD,210.77,-0.05%,USD,198.56,0.35%,USD,154.97,0.29%,USD,221.87,1.26%,USD,284.71,-2.54%,USD,125.21,0.76%,USD,188.81,-1.82%,
9/30/2000,USD,231.05,-0.41%,USD,199.41,2.02%,USD,77.45,9.89%,USD,141.19,-6.79%,USD,213.81,-0.14%,USD,220.44,0.61%,USD,238.10,-0.31%,USD,210.87,1.29%,USD,197.86,1.01%,USD,154.52,0.75%,USD,219.11,-0.87%,USD,292.12,-0.71%,USD,124.26,-3.34%,USD,192.31,0.64%,
8/31/2000,USD,232.00,3.39%,USD,195.47,1.69%,USD,70.48,-7.23%,USD,151.48,4.32%,USD,214.10,1.43%,USD,219.10,1.71%,USD,238.84,1.77%,USD,208.18,1.69%,USD,195.89,1.57%,USD,153.37,0.67%,USD,221.04,2.92%,USD,294.22,4.90%,USD,128.56,1.23%,USD,191.09,0.64%,
7/31/2000,USD,224.39,0.11%,USD,192.23,1.46%,USD,75.97,3.59%,USD,145.21,0.58%,USD,211.08,1.23%,USD,215.41,0.50%,USD,234.69,-0.24%,USD,204.73,0.97%,USD,192.86,1.58%,USD,152.35,0.55%,USD,214.76,1.81%,USD,280.49,-0.63%,USD,127.00,-2.05%,USD,189.87,-0.29%,
6/30/2000,USD,224.14,3.66%,USD,189.47,1.97%,USD,73.34,-6.99%,USD,144.37,5.53%,USD,208.52,1.82%,USD,214.34,1.94%,USD,235.25,2.02%,USD,202.76,1.92%,USD,189.86,1.43%,USD,151.51,0.93%,USD,210.94,1.32%,USD,282.28,6.13%,USD,129.66,-1.12%,USD,190.43,2.13%,
5/31/2000,USD,216.22,-1.17%,USD,185.81,1.94%,USD,78.85,6.14%,USD,136.80,-4.13%,USD,204.80,1.46%,USD,210.27,0.02%,USD,230.60,0.00%,USD,198.95,-0.03%,USD,187.18,0.68%,USD,150.12,0.02%,USD,208.19,2.32%,USD,265.97,-3.45%,USD,131.13,0.58%,USD,186.46,0.87%,
4/30/2000,USD,218.78,-4.63%,USD,182.27,3.57%,USD,74.29,2.29%,USD,142.70,-7.76%,USD,201.85,1.44%,USD,210.22,-0.73%,USD,230.59,-1.32%,USD,199.01,-0.49%,USD,185.91,1.81%,USD,150.09,0.93%,USD,203.47,-5.35%,USD,275.48,-7.46%,USD,130.37,-2.28%,USD,184.85,0.92%,
3/31/2000,USD,229.39,-2.12%,USD,175.99,3.46%,USD,72.63,-5.94%,USD,154.71,3.10%,USD,198.99,2.24%,USD,211.77,0.60%,USD,233.67,0.15%,USD,199.98,1.18%,USD,182.60,0.05%,USD,148.70,-0.15%,USD,214.98,-2.45%,USD,297.68,-3.98%,USD,133.41,-1.31%,USD,183.16,2.15%,
2/29/2000,USD,234.35,6.49%,USD,170.10,3.37%,USD,77.22,-8.65%,USD,150.06,6.04%,USD,194.63,0.79%,USD,210.50,2.30%,USD,233.31,0.49%,USD,197.64,4.38%,USD,182.51,3.52%,USD,148.92,0.57%,USD,220.39,4.43%,USD,310.02,11.14%,USD,135.18,-2.10%,USD,179.30,1.89%,
1/31/2000,USD,220.07,-0.10%,USD,164.55,2.59%,USD,84.53,3.74%,USD,141.51,-1.52%,USD,193.10,1.42%,USD,205.76,0.51%,USD,232.18,0.42%,USD,189.34,0.65%,USD,176.30,0.15%,USD,148.08,0.54%,USD,211.04,-2.42%,USD,278.94,0.52%,USD,138.08,0.01%,USD,175.97,1.95%,
12/31/1999,USD,220.29,8.53%,USD,160.40,0.90%,USD,81.48,-6.60%,USD,143.70,15.34%,USD,190.39,0.96%,USD,204.71,3.09%,USD,231.20,1.90%,USD,188.11,4.66%,USD,176.03,0.47%,USD,147.29,0.97%,USD,216.28,9.24%,USD,277.49,13.01%,USD,138.07,2.35%,USD,172.60,2.51%,
11/30/1999,USD,202.98,4.96%,USD,158.97,1.30%,USD,87.24,-6.48%,USD,124.59,9.29%,USD,188.58,1.56%,USD,198.57,2.04%,USD,226.89,1.55%,USD,179.74,2.73%,USD,175.21,0.52%,USD,145.87,0.78%,USD,197.99,4.40%,USD,245.55,8.31%,USD,134.90,-0.52%,USD,168.38,2.71%,
10/31/1999,USD,193.38,2.37%,USD,156.93,0.70%,USD,93.28,1.85%,USD,114.00,3.66%,USD,185.68,0.82%,USD,194.60,0.35%,USD,223.43,-0.30%,USD,174.96,0.96%,USD,174.30,1.75%,USD,144.74,0.91%,USD,189.64,2.44%,USD,226.70,4.39%,USD,135.60,-4.82%,USD,163.94,0.09%,
9/30/1999,USD,188.90,-0.32%,USD,155.84,1.39%,USD,91.59,1.74%,USD,109.98,-0.65%,USD,184.17,0.22%,USD,193.92,1.04%,USD,224.11,1.73%,USD,173.30,0.11%,USD,171.31,2.16%,USD,143.43,0.74%,USD,185.12,-3.18%,USD,217.16,0.60%,USD,142.46,1.81%,USD,163.79,0.04%,
8/31/1999,USD,189.51,-0.90%,USD,153.70,0.23%,USD,90.02,4.32%,USD,110.70,-2.66%,USD,183.77,1.11%,USD,191.93,0.11%,USD,220.29,0.19%,USD,173.11,-0.05%,USD,167.69,0.80%,USD,142.38,-0.41%,USD,191.21,-2.85%,USD,215.87,-0.27%,USD,139.93,-0.32%,USD,163.72,0.99%,
7/31/1999,USD,191.24,0.26%,USD,153.35,1.09%,USD,86.29,-0.02%,USD,113.73,-1.55%,USD,181.75,1.66%,USD,191.72,1.32%,USD,219.87,1.96%,USD,173.19,0.67%,USD,166.36,0.16%,USD,142.97,0.49%,USD,196.81,-1.91%,USD,216.45,1.54%,USD,140.38,-0.72%,USD,162.12,1.01%,
6/30/1999,USD,190.74,3.28%,USD,151.69,0.81%,USD,86.31,-2.36%,USD,115.52,4.90%,USD,178.78,1.92%,USD,189.23,2.93%,USD,215.65,2.49%,USD,172.03,3.57%,USD,166.10,1.22%,USD,142.27,0.75%,USD,200.65,3.02%,USD,213.17,4.65%,USD,141.40,2.76%,USD,160.50,-2.05%,
5/31/1999,USD,184.69,0.13%,USD,150.47,1.89%,USD,88.40,0.43%,USD,110.12,-1.23%,USD,175.41,1.44%,USD,183.85,2.17%,USD,210.41,2.43%,USD,166.10,1.86%,USD,164.09,2.47%,USD,141.21,0.88%,USD,194.77,-0.05%,USD,203.69,-0.82%,USD,137.60,-2.93%,USD,163.86,0.38%,
4/30/1999,USD,184.45,2.63%,USD,147.68,2.14%,USD,88.02,-3.75%,USD,111.49,6.49%,USD,172.92,2.02%,USD,179.94,3.07%,USD,205.42,3.14%,USD,163.07,2.97%,USD,160.14,3.39%,USD,139.98,1.63%,USD,194.87,1.79%,USD,205.38,3.29%,USD,141.75,2.67%,USD,163.24,0.29%,
3/31/1999,USD,179.73,1.22%,USD,144.59,1.04%,USD,91.45,-1.77%,USD,104.70,7.43%,USD,169.49,1.35%,USD,174.58,2.39%,USD,199.17,2.89%,USD,158.37,1.81%,USD,154.89,2.56%,USD,137.73,1.34%,USD,191.45,-2.00%,USD,198.83,3.76%,USD,138.07,-1.07%,USD,162.76,0.22%,
2/28/1999,USD,177.56,-1.31%,USD,143.10,1.22%,USD,93.10,5.59%,USD,97.46,1.17%,USD,167.24,0.61%,USD,170.50,-0.05%,USD,193.57,0.07%,USD,155.56,-0.06%,USD,151.02,-1.37%,USD,135.91,1.52%,USD,195.35,-1.60%,USD,191.62,-3.14%,USD,139.56,-0.54%,USD,162.40,1.26%,
1/31/1999,USD,179.91,0.80%,USD,141.37,2.27%,USD,88.17,-7.18%,USD,96.33,-2.92%,USD,166.22,0.69%,USD,170.58,1.88%,USD,193.44,2.22%,USD,155.66,1.78%,USD,153.11,-1.51%,USD,133.88,1.90%,USD,198.52,-2.88%,USD,197.84,4.97%,USD,140.32,-3.14%,USD,160.38,1.63%,
12/31/1998,USD,178.48,3.03%,USD,138.23,0.35%,USD,94.99,-5.75%,USD,99.23,-3.84%,USD,165.08,1.24%,USD,167.44,1.70%,USD,189.23,1.55%,USD,152.94,1.89%,USD,155.46,1.55%,USD,131.38,1.73%,USD,204.40,2.34%,USD,188.47,6.56%,USD,144.87,2.80%,USD,157.80,1.32%,
11/30/1998,USD,173.23,1.36%,USD,137.75,2.06%,USD,100.79,-7.12%,USD,103.19,4.68%,USD,163.06,2.10%,USD,164.64,2.77%,USD,186.34,3.17%,USD,150.11,2.41%,USD,153.08,2.04%,USD,129.14,1.55%,USD,199.73,-1.08%,USD,176.87,3.74%,USD,140.92,-1.80%,USD,155.75,1.95%,
10/31/1998,USD,170.91,-4.57%,USD,134.97,-4.68%,USD,108.52,-8.69%,USD,98.58,1.68%,USD,159.70,2.48%,USD,160.21,0.66%,USD,180.62,0.89%,USD,146.58,0.26%,USD,150.02,2.41%,USD,127.17,-6.96%,USD,201.92,-11.55%,USD,170.49,1.74%,USD,143.51,1.21%,USD,152.77,-4.76%,
9/30/1998,USD,179.10,-2.31%,USD,141.59,-3.23%,USD,118.85,-4.98%,USD,96.95,-7.40%,USD,155.84,0.95%,USD,159.16,-2.96%,USD,179.03,-1.43%,USD,146.20,-4.74%,USD,146.49,-0.65%,USD,136.69,-3.74%,USD,228.29,-5.12%,USD,167.57,3.47%,USD,141.80,6.87%,USD,160.40,0.57%,
8/31/1998,USD,183.33,-7.55%,USD,146.31,-4.64%,USD,125.08,22.71%,USD,104.70,-23.03%,USD,154.38,-0.85%,USD,164.02,-11.77%,USD,181.63,-12.45%,USD,153.47,-11.52%,USD,147.45,-6.15%,USD,142.00,-1.46%,USD,240.62,-4.84%,USD,161.95,-11.43%,USD,132.69,9.95%,USD,159.49,1.15%,
7/31/1998,USD,198.30,0.90%,USD,153.43,0.52%,USD,101.93,2.72%,USD,136.02,0.08%,USD,155.71,-0.10%,USD,185.91,0.04%,USD,207.47,0.39%,USD,173.46,-0.27%,USD,157.12,-0.37%,USD,144.11,0.48%,USD,252.85,1.80%,USD,182.86,0.61%,USD,120.68,-1.12%,USD,157.68,0.70%,
