,Credit Suisse Hedge Fund Index ,,,Credit Suisse Convertible Arbitrage Hedge Fund Index,,,Credit Suisse Dedicated Short Bias Hedge Fund Index,,,Credit Suisse Emerging Markets Hedge Fund Index,,,Credit Suisse Equity Market Neutral Hedge Fund Index,,,Credit Suisse Event Driven Hedge Fund Index,,,Credit Suisse Event Driven Distressed Hedge Fund Index,,,Credit Suisse Event Driven Multi-Strategy Hedge Fund Index,,,Credit Suisse Event Driven Risk Arbitrage Hedge Fund Index,,,Credit Suisse Fixed Income Arbitrage Hedge Fund Index,,,Credit Suisse Global Macro Hedge Fund Index,,,Credit Suisse Long/Short Equity Hedge Fund Index,,,Credit Suisse Managed Futures Hedge Fund Index,,,Credit Suisse Multi-Strategy Hedge Fund Index,,,
6/30/1998,USD,196.54,1.59%,USD,152.64,-0.37%,USD,99.23,-2.34%,USD,135.91,-4.68%,USD,155.87,0.47%,USD,185.83,-0.79%,USD,206.66,0.31%,USD,173.93,-2.01%,USD,157.71,-0.53%,USD,143.42,-1.08%,USD,248.39,3.28%,USD,181.76,3.40%,USD,122.05,0.91%,USD,156.59,0.24%,
5/31/1998,USD,193.47,0.26%,USD,153.21,0.65%,USD,101.61,10.89%,USD,142.58,-9.78%,USD,155.14,1.31%,USD,187.31,-1.20%,USD,206.03,-1.41%,USD,177.49,-1.10%,USD,158.55,0.23%,USD,144.98,-0.21%,USD,240.51,3.37%,USD,175.79,-1.69%,USD,120.95,3.25%,USD,156.22,1.22%,
4/30/1998,USD,192.96,0.95%,USD,152.22,1.27%,USD,91.63,0.86%,USD,158.03,-0.18%,USD,153.13,0.29%,USD,189.58,0.73%,USD,208.97,0.51%,USD,179.47,0.90%,USD,158.19,1.64%,USD,145.28,-0.01%,USD,232.66,1.57%,USD,178.81,1.14%,USD,117.14,-4.03%,USD,154.33,1.81%,
3/31/1998,USD,191.14,5.94%,USD,150.31,1.42%,USD,90.85,-2.42%,USD,158.31,3.63%,USD,152.68,1.97%,USD,188.20,2.48%,USD,207.90,1.27%,USD,177.87,3.82%,USD,155.64,2.38%,USD,145.30,1.61%,USD,229.06,10.16%,USD,176.80,5.03%,USD,122.06,1.06%,USD,151.59,1.56%,
2/28/1998,USD,180.42,1.96%,USD,148.20,1.63%,USD,93.10,-6.89%,USD,152.77,2.00%,USD,149.73,1.85%,USD,183.65,2.56%,USD,205.29,2.80%,USD,171.33,2.17%,USD,152.02,3.81%,USD,143.00,0.81%,USD,207.94,0.21%,USD,168.33,5.64%,USD,120.78,-0.28%,USD,149.26,1.54%,
1/31/1998,USD,176.96,-1.21%,USD,145.82,0.84%,USD,99.99,-1.05%,USD,149.78,-5.90%,USD,147.01,0.91%,USD,179.07,1.73%,USD,199.70,3.76%,USD,167.69,-0.20%,USD,146.44,-0.54%,USD,141.85,-0.84%,USD,207.51,-2.18%,USD,159.35,-0.93%,USD,121.12,0.87%,USD,146.99,0.30%,
12/31/1997,USD,179.13,3.22%,USD,144.60,1.01%,USD,101.05,1.04%,USD,159.17,4.30%,USD,145.69,0.04%,USD,176.02,1.91%,USD,192.46,0.39%,USD,168.03,2.98%,USD,147.24,2.01%,USD,143.05,0.71%,USD,212.13,5.14%,USD,160.84,1.55%,USD,120.08,2.82%,USD,146.55,1.07%,
11/30/1997,USD,173.54,1.00%,USD,143.16,-0.82%,USD,100.01,2.93%,USD,152.61,-4.76%,USD,145.63,-0.38%,USD,172.72,1.33%,USD,191.72,1.84%,USD,163.16,0.97%,USD,144.34,1.09%,USD,142.04,0.40%,USD,201.76,3.46%,USD,158.38,-1.22%,USD,116.79,-0.68%,USD,145.00,0.73%,
10/31/1997,USD,171.82,-1.64%,USD,144.34,0.46%,USD,97.16,6.75%,USD,160.23,-7.86%,USD,146.19,0.81%,USD,170.46,0.45%,USD,188.25,1.22%,USD,161.60,-0.05%,USD,142.78,0.02%,USD,141.48,-1.58%,USD,195.01,-1.89%,USD,160.33,-0.84%,USD,117.59,-0.73%,USD,143.95,3.12%,
9/30/1997,USD,174.68,3.99%,USD,143.68,1.03%,USD,91.02,-3.32%,USD,173.89,2.78%,USD,145.01,1.81%,USD,169.70,2.50%,USD,185.99,2.97%,USD,161.68,2.27%,USD,142.75,1.48%,USD,143.75,1.15%,USD,198.76,4.63%,USD,161.69,5.91%,USD,118.45,3.63%,USD,139.59,2.40%,
8/31/1997,USD,167.97,-1.26%,USD,142.21,1.75%,USD,94.15,-0.07%,USD,169.18,-3.65%,USD,142.43,-0.92%,USD,165.56,-0.26%,USD,180.63,-0.91%,USD,158.09,0.13%,USD,140.67,0.57%,USD,142.12,0.82%,USD,189.97,-2.41%,USD,152.67,0.62%,USD,114.30,-7.27%,USD,136.32,1.26%,
7/31/1997,USD,170.11,6.99%,USD,139.77,2.11%,USD,94.22,-6.32%,USD,175.58,6.46%,USD,143.75,3.26%,USD,165.99,3.58%,USD,182.28,3.53%,USD,157.89,3.93%,USD,139.87,1.21%,USD,140.97,1.09%,USD,194.67,10.13%,USD,151.73,7.03%,USD,123.26,5.69%,USD,134.62,1.03%,
6/30/1997,USD,158.99,2.26%,USD,136.88,2.09%,USD,100.58,-0.84%,USD,164.93,6.81%,USD,139.21,1.18%,USD,160.25,1.70%,USD,176.06,1.13%,USD,151.92,2.08%,USD,138.20,2.39%,USD,139.45,0.87%,USD,176.76,2.10%,USD,141.77,2.28%,USD,116.62,0.21%,USD,133.25,1.27%,
5/31/1997,USD,155.48,0.88%,USD,134.08,1.68%,USD,101.43,-6.50%,USD,154.41,2.97%,USD,137.58,3.03%,USD,157.57,2.91%,USD,174.10,3.45%,USD,148.82,2.68%,USD,134.98,1.31%,USD,138.25,1.01%,USD,173.12,-2.02%,USD,138.61,5.14%,USD,116.37,-0.76%,USD,131.58,1.10%,
4/30/1997,USD,154.12,2.86%,USD,131.86,1.02%,USD,108.48,-0.80%,USD,149.96,1.97%,USD,133.54,1.21%,USD,153.11,0.33%,USD,168.29,0.52%,USD,144.93,0.48%,USD,133.24,-1.67%,USD,136.87,1.24%,USD,176.69,5.95%,USD,131.83,0.01%,USD,117.26,-2.69%,USD,130.15,0.56%,
3/31/1997,USD,149.84,-1.41%,USD,130.53,0.94%,USD,109.36,8.03%,USD,147.07,-0.78%,USD,131.95,-1.15%,USD,152.60,0.18%,USD,167.42,0.38%,USD,144.24,0.08%,USD,135.50,-0.42%,USD,135.19,0.72%,USD,166.76,-2.17%,USD,131.82,-2.27%,USD,120.50,-0.95%,USD,129.42,0.53%,
2/28/1997,USD,151.99,1.30%,USD,129.31,1.33%,USD,101.23,2.50%,USD,148.22,7.69%,USD,133.48,1.97%,USD,152.33,1.49%,USD,166.79,2.16%,USD,144.13,1.03%,USD,136.07,0.22%,USD,134.22,1.10%,USD,170.46,1.82%,USD,134.88,-1.58%,USD,121.66,1.43%,USD,128.74,2.35%,
1/31/1997,USD,150.04,5.48%,USD,127.61,1.03%,USD,98.76,-1.86%,USD,137.63,9.46%,USD,130.90,3.17%,USD,150.10,2.30%,USD,163.27,2.42%,USD,142.66,2.33%,USD,135.77,1.28%,USD,132.76,1.48%,USD,167.42,8.21%,USD,137.04,3.49%,USD,119.94,3.00%,USD,125.79,1.53%,
12/31/1996,USD,142.24,0.31%,USD,126.31,0.85%,USD,100.63,1.31%,USD,125.74,2.43%,USD,126.88,0.95%,USD,146.73,1.88%,USD,159.41,2.19%,USD,139.41,1.70%,USD,134.05,1.12%,USD,130.83,1.75%,USD,154.72,-0.76%,USD,132.42,0.82%,USD,116.45,-1.83%,USD,123.90,2.26%,
11/30/1996,USD,141.80,5.04%,USD,125.25,1.35%,USD,99.33,-2.94%,USD,122.76,2.60%,USD,125.68,2.00%,USD,144.02,2.54%,USD,155.99,3.61%,USD,137.08,1.89%,USD,132.57,0.45%,USD,128.58,1.17%,USD,155.91,8.13%,USD,131.34,3.07%,USD,118.62,4.21%,USD,121.16,0.19%,
10/31/1996,USD,134.99,3.35%,USD,123.58,1.44%,USD,102.34,4.30%,USD,119.65,1.70%,USD,123.22,1.11%,USD,140.45,1.39%,USD,150.55,1.80%,USD,134.54,1.19%,USD,131.98,0.45%,USD,127.09,1.16%,USD,144.19,5.31%,USD,127.43,1.93%,USD,113.83,5.59%,USD,120.93,0.22%,
9/30/1996,USD,130.61,2.50%,USD,121.82,1.12%,USD,98.12,-5.93%,USD,117.65,1.57%,USD,121.87,1.32%,USD,138.52,2.23%,USD,147.89,2.84%,USD,132.96,1.68%,USD,131.39,2.15%,USD,125.63,1.47%,USD,136.92,3.01%,USD,125.02,2.50%,USD,107.80,3.22%,USD,120.67,0.98%,
8/31/1996,USD,127.42,2.48%,USD,120.47,1.31%,USD,104.31,-3.43%,USD,115.83,3.56%,USD,120.28,1.48%,USD,135.50,2.16%,USD,143.81,2.74%,USD,130.76,1.86%,USD,128.62,1.23%,USD,123.81,1.04%,USD,132.92,2.93%,USD,121.97,2.38%,USD,104.44,0.78%,USD,119.50,0.72%,
7/31/1996,USD,124.34,-4.13%,USD,118.91,1.36%,USD,108.01,9.83%,USD,111.85,-2.68%,USD,118.53,0.60%,USD,132.63,0.24%,USD,139.98,-0.33%,USD,128.37,0.60%,USD,127.06,1.05%,USD,122.53,1.34%,USD,129.14,-6.97%,USD,119.14,-3.80%,USD,103.63,0.10%,USD,118.64,1.73%,
6/30/1996,USD,129.70,1.74%,USD,117.32,1.45%,USD,98.34,5.09%,USD,114.93,5.36%,USD,117.82,0.24%,USD,132.31,1.00%,USD,140.44,0.67%,USD,127.61,1.48%,USD,125.74,0.28%,USD,120.91,1.25%,USD,138.82,3.23%,USD,123.85,-1.53%,USD,103.53,0.20%,USD,116.62,2.91%,
5/31/1996,USD,127.48,1.93%,USD,115.64,1.59%,USD,93.58,0.02%,USD,109.08,4.51%,USD,117.54,1.14%,USD,131.00,1.66%,USD,139.50,1.09%,USD,125.75,2.34%,USD,125.39,1.09%,USD,119.42,1.09%,USD,134.47,1.99%,USD,125.78,2.13%,USD,103.32,-1.99%,USD,113.32,1.97%,
4/30/1996,USD,125.07,3.12%,USD,113.83,1.34%,USD,93.56,-6.64%,USD,104.37,5.06%,USD,116.21,1.29%,USD,128.86,2.57%,USD,137.99,2.69%,USD,122.88,2.58%,USD,124.04,2.00%,USD,118.13,1.35%,USD,131.85,3.00%,USD,123.16,4.14%,USD,105.42,3.12%,USD,111.13,1.72%,
3/31/1996,USD,121.29,1.06%,USD,112.33,1.50%,USD,100.21,-0.87%,USD,99.34,-0.93%,USD,114.73,1.65%,USD,125.63,1.22%,USD,134.38,1.30%,USD,119.79,1.29%,USD,121.61,0.63%,USD,116.56,0.77%,USD,128.01,1.22%,USD,118.26,1.21%,USD,102.23,0.11%,USD,109.25,-0.03%,
2/29/1996,USD,120.02,-3.59%,USD,110.67,1.18%,USD,101.09,-5.64%,USD,100.27,-0.57%,USD,112.87,1.59%,USD,124.11,0.58%,USD,132.65,0.36%,USD,118.26,0.57%,USD,120.85,1.57%,USD,115.67,1.06%,USD,126.47,-7.07%,USD,116.85,1.35%,USD,102.12,-4.50%,USD,109.28,0.23%,
1/31/1996,USD,124.49,6.97%,USD,109.38,2.07%,USD,107.13,0.63%,USD,100.84,7.86%,USD,111.10,2.10%,USD,123.39,3.49%,USD,132.17,4.10%,USD,117.59,3.50%,USD,118.98,1.02%,USD,114.46,1.43%,USD,136.09,10.46%,USD,115.29,1.97%,USD,106.93,2.82%,USD,109.03,0.37%,
12/31/1995,USD,116.38,3.06%,USD,107.16,1.39%,USD,106.46,4.94%,USD,93.49,0.74%,USD,108.82,0.81%,USD,119.23,2.18%,USD,126.97,3.89%,USD,113.61,1.02%,USD,117.78,-0.16%,USD,112.85,1.07%,USD,123.20,4.05%,USD,113.06,2.09%,USD,104.00,4.59%,USD,108.63,0.80%,
11/30/1995,USD,112.92,3.14%,USD,105.69,2.31%,USD,101.45,-0.97%,USD,92.80,-3.13%,USD,107.95,0.29%,USD,116.69,1.13%,USD,122.22,1.28%,USD,112.46,0.70%,USD,117.97,1.68%,USD,111.65,1.68%,USD,118.41,4.87%,USD,110.74,2.29%,USD,99.44,-0.27%,USD,107.77,2.53%,
10/31/1995,USD,109.48,-0.11%,USD,103.30,1.29%,USD,102.44,6.35%,USD,95.80,-5.66%,USD,107.64,0.28%,USD,115.39,-0.26%,USD,120.68,-1.31%,USD,111.68,0.86%,USD,116.02,0.16%,USD,109.80,1.14%,USD,112.91,1.00%,USD,108.26,-1.82%,USD,99.71,-1.06%,USD,105.11,-0.82%,
9/30/1995,USD,109.60,0.38%,USD,101.98,1.12%,USD,96.32,-2.93%,USD,101.55,1.88%,USD,107.34,-0.57%,USD,115.69,1.87%,USD,122.28,1.55%,USD,110.73,2.55%,USD,115.83,1.14%,USD,108.56,1.04%,USD,111.79,0.20%,USD,110.27,1.11%,USD,100.78,-9.35%,USD,105.98,1.74%,
8/31/1995,USD,109.19,6.00%,USD,100.85,0.77%,USD,99.23,0.82%,USD,99.68,0.98%,USD,107.96,0.68%,USD,113.57,1.54%,USD,120.41,0.96%,USD,107.98,2.59%,USD,114.52,0.60%,USD,107.44,0.77%,USD,111.57,10.60%,USD,109.06,2.26%,USD,111.18,-0.32%,USD,104.17,1.00%,
7/31/1995,USD,103.01,2.76%,USD,100.08,0.86%,USD,98.42,-5.94%,USD,98.71,2.22%,USD,107.23,0.55%,USD,111.85,2.25%,USD,119.26,3.87%,USD,105.25,0.71%,USD,113.84,1.56%,USD,106.62,1.12%,USD,100.88,2.24%,USD,106.65,5.15%,USD,111.54,3.05%,USD,103.14,-0.64%,
6/30/1995,USD,100.24,0.37%,USD,99.23,1.90%,USD,104.63,-6.91%,USD,96.57,0.78%,USD,106.64,1.52%,USD,109.39,1.30%,USD,114.82,2.33%,USD,104.51,-0.07%,USD,112.09,2.07%,USD,105.44,0.52%,USD,98.67,-0.68%,USD,101.43,3.51%,USD,108.24,-5.74%,USD,103.80,1.80%,
5/31/1995,USD,99.87,1.01%,USD,97.38,1.65%,USD,112.40,-1.25%,USD,95.82,1.34%,USD,105.04,0.41%,USD,107.99,1.13%,USD,112.21,1.96%,USD,104.58,0.48%,USD,109.82,0.61%,USD,104.89,2.01%,USD,99.35,0.99%,USD,97.99,2.03%,USD,114.83,-4.70%,USD,101.96,-1.25%,
4/30/1995,USD,98.87,1.45%,USD,95.80,2.28%,USD,113.82,-0.37%,USD,94.55,7.25%,USD,104.61,2.27%,USD,106.78,2.10%,USD,110.05,2.78%,USD,104.08,2.44%,USD,109.15,-0.45%,USD,102.82,2.02%,USD,98.38,0.91%,USD,96.04,1.36%,USD,120.49,-0.33%,USD,103.25,1.70%,
3/31/1995,USD,97.46,3.48%,USD,93.66,1.32%,USD,114.24,0.38%,USD,88.16,-5.51%,USD,102.29,2.92%,USD,104.58,0.85%,USD,107.07,2.92%,USD,101.60,-1.23%,USD,109.64,0.63%,USD,100.78,-0.44%,USD,97.49,5.96%,USD,94.75,0.81%,USD,120.89,9.46%,USD,101.52,1.86%,
2/28/1995,USD,94.18,0.45%,USD,92.44,1.18%,USD,113.81,-2.24%,USD,93.30,-7.88%,USD,99.39,0.94%,USD,103.70,2.41%,USD,104.03,2.89%,USD,102.87,1.96%,USD,108.95,1.88%,USD,101.23,0.65%,USD,92.01,0.07%,USD,93.99,3.04%,USD,110.44,-1.27%,USD,99.67,0.23%,
1/31/1995,USD,93.76,-1.97%,USD,91.36,-0.62%,USD,116.42,1.31%,USD,101.28,-9.98%,USD,98.46,0.47%,USD,101.26,0.51%,USD,101.11,0.44%,USD,100.89,0.27%,USD,106.94,1.61%,USD,100.58,0.27%,USD,91.95,-2.47%,USD,91.22,-0.74%,USD,111.86,-0.08%,USD,99.44,2.41%,
12/31/1994,USD,95.64,-0.21%,USD,91.93,-1.92%,USD,114.91,-0.19%,USD,112.51,-4.21%,USD,98.00,1.27%,USD,100.75,-0.78%,USD,100.67,-0.63%,USD,100.62,-1.00%,USD,105.25,0.26%,USD,100.31,0.57%,USD,94.28,0.50%,USD,91.90,-0.35%,USD,111.95,-1.89%,USD,97.10,1.89%,
11/30/1994,USD,95.84,0.41%,USD,93.73,-0.17%,USD,115.13,3.03%,USD,117.45,-1.42%,USD,96.77,-0.30%,USD,101.54,-1.06%,USD,101.31,-2.40%,USD,101.64,0.51%,USD,104.98,0.61%,USD,99.74,0.69%,USD,93.81,2.09%,USD,92.22,-2.85%,USD,114.11,1.65%,USD,95.30,-2.72%,
10/31/1994,USD,95.45,-1.35%,USD,93.89,-1.36%,USD,111.74,-0.41%,USD,119.14,-3.51%,USD,97.06,-0.37%,USD,102.63,-0.73%,USD,103.80,-0.35%,USD,101.12,-1.26%,USD,104.34,0.20%,USD,99.06,0.89%,USD,91.89,-2.22%,USD,94.93,0.27%,USD,112.26,1.18%,USD,97.96,1.59%,
9/30/1994,USD,96.76,0.67%,USD,95.18,-1.19%,USD,112.20,1.58%,USD,123.47,5.20%,USD,97.42,-0.94%,USD,103.38,0.75%,USD,104.16,1.11%,USD,102.41,0.32%,USD,104.13,0.38%,USD,98.19,0.70%,USD,93.98,0.25%,USD,94.67,0.25%,USD,110.95,2.03%,USD,96.43,-0.64%,
8/31/1994,USD,96.12,2.77%,USD,96.33,-0.04%,USD,110.46,-5.66%,USD,117.37,16.42%,USD,98.34,-0.99%,USD,102.61,0.82%,USD,103.02,2.04%,USD,102.08,-0.72%,USD,103.74,1.69%,USD,97.51,-0.09%,USD,93.75,2.75%,USD,94.43,1.64%,USD,108.74,-0.27%,USD,97.05,-3.24%,
7/31/1994,USD,93.53,0.35%,USD,96.37,0.14%,USD,117.09,-1.18%,USD,100.82,5.81%,USD,99.32,-1.00%,USD,101.78,0.54%,USD,100.96,1.80%,USD,102.82,-0.96%,USD,102.02,0.57%,USD,97.60,-0.18%,USD,91.24,-0.35%,USD,92.91,1.29%,USD,109.03,-1.01%,USD,100.30,-2.23%,
6/30/1994,USD,93.20,-0.81%,USD,96.24,0.21%,USD,118.49,6.35%,USD,95.28,0.47%,USD,100.32,0.70%,USD,101.23,-0.13%,USD,99.17,-0.95%,USD,103.82,0.83%,USD,101.44,0.18%,USD,97.78,-0.40%,USD,91.56,-0.92%,USD,91.73,-2.31%,USD,110.14,4.15%,USD,102.59,3.61%,
5/31/1994,USD,93.96,2.23%,USD,96.04,-1.02%,USD,111.42,2.25%,USD,94.83,-0.73%,USD,99.62,-0.11%,USD,101.36,-0.15%,USD,100.12,-0.84%,USD,102.97,0.69%,USD,101.26,0.25%,USD,98.17,0.79%,USD,92.41,3.80%,USD,93.90,0.57%,USD,105.75,0.76%,USD,99.02,-3.47%,
4/30/1994,USD,91.91,-1.74%,USD,97.03,-2.52%,USD,108.97,1.28%,USD,95.53,-8.36%,USD,99.73,0.25%,USD,101.51,-0.66%,USD,100.97,-0.71%,USD,102.26,-0.57%,USD,101.01,-0.96%,USD,97.40,-0.20%,USD,89.03,-1.59%,USD,93.37,-1.56%,USD,104.95,0.86%,USD,102.58,2.58%,
3/31/1994,USD,93.54,-3.57%,USD,99.54,-0.97%,USD,107.59,7.19%,USD,104.24,-4.61%,USD,99.48,-0.24%,USD,102.18,-1.29%,USD,101.69,-1.83%,USD,102.85,-0.83%,USD,101.99,1.86%,USD,97.60,-1.68%,USD,90.47,-4.27%,USD,94.85,-3.90%,USD,104.06,2.60%,USD,100.00,0.00%,
2/28/1994,USD,97.00,-4.09%,USD,100.51,0.15%,USD,100.37,2.00%,USD,109.28,-1.14%,USD,99.72,0.24%,USD,103.52,-0.15%,USD,103.59,-0.34%,USD,103.71,0.11%,USD,100.13,-0.44%,USD,99.27,-2.00%,USD,94.51,-5.65%,USD,98.70,-2.47%,USD,101.42,1.20%,,,,
1/31/1994,USD,101.14,1.14%,USD,100.36,0.36%,USD,98.40,-1.60%,USD,110.54,10.54%,USD,99.48,-0.52%,USD,103.68,3.68%,USD,103.94,3.94%,USD,103.60,3.60%,USD,100.57,0.57%,USD,101.30,1.30%,USD,100.17,0.17%,USD,101.20,1.20%,USD,100.22,0.22%,,,,
12/31/1993,USD,100.00,0.00%,USD,100.00,0.00%,USD,100.00,0.00%,USD,100.00,0.00%,USD,100.00,0.00%,USD,100.00,0.00%,USD,100.00,0.00%,USD,100.00,0.00%,USD,100.00,0.00%,USD,100.00,0.00%,USD,100.00,0.00%,USD,100.00,0.00%,USD,100.00,0.00%,,,,
,
,

" 1999 - 2013 Credit Suisse Hedge Index LLC. All rights reserved. This communication is for informational purposes only. It is not intended as investment advice or an offer or solicitation for the purchase or sale of any financial instrument. No market data or other information is warranted or guaranteed by Credit Suisse Hedge Index LLC or its subsidiaries and affiliates as to its completeness accuracy or fitness for a particular purpose express or implied and is subject to change without notice. Those communications reflect the assumptions views and analytical methods of the persons that prepared them. Hypothetical, back-tested or simulated performances have many inherent limitations only some of which are described as follows: they are designed with the benefit of hindsight, based on historical data, and do not reflect the impact that certain economic and market factors might have had on the decision or rule-making process. No hypothetical, back-tested or simulated performance can completely account for the impact of financial risk in actual performance. Therefore, it will invariably show positive returns. The information is based, in part, on hypothetical assumptions made for modeling purposes that may not be realized in actual performance. No representation or warranty is made as to the reasonableness of the assumptions made or that all assumptions used in achieving the returns have been stated or fully considered. Assumption changes may have a material impact on the model returns presented. There are frequently material differences between hypothetical, back-tested or simulated performance results and actual results subsequently achieved by any investment strategy. Unlike an actual performance, hypothetical, back-tested or simulated results are achieved by means of the retroactive application of a back-tested model itself designed with the benefit of hindsight. The back-testing of performance differs from actual performance because the allocation rules may be adjusted at any time, for any reason and can continue to be changed until desired or better performance results are achieved. The Index is not a security and cannot be purchased. Credit Suisse Hedge Fund Index was formerly known as Dow Jones Credit Suisse Hedge Fund Index from July 1, 2010 to July 10, 2013. Credit Suisse AllHedge Index was formerly known as Dow Jones Credit Suisse AllHedge Index from July 1, 2010 to July 10, 2013. Credit Suisse Blue Chip Hedge Fund Index was formerly known as Dow Jones Credit Suisse Blue Chip Hedge Fund Index from July 1, 2010 to July 10, 2013."

""